,loss,accuracy,iou,val_loss,val_accuracy,val_iou
0,0.8159834146499634,0.7438912987709045,0.5512752532958984,0.7552980184555054,0.8287180662155151,0.6543904542922974
1,0.7483779191970825,0.8460543751716614,0.7247923016548157,0.7197383642196655,0.8309871554374695,0.7082974314689636
2,0.6780484318733215,0.902582049369812,0.7851314544677734,0.6339198350906372,0.9560590982437134,0.8093331456184387
3,0.5227996706962585,0.9644377827644348,0.9030967354774475,0.6538790464401245,0.9350754022598267,0.8784282803535461
4,0.46668532490730286,0.9636369347572327,0.9298357963562012,0.43594440817832947,0.9801892042160034,0.9616155624389648
5,0.378139466047287,0.9831485152244568,0.9664043188095093,0.3982510268688202,0.9810503721237183,0.9625581502914429
6,0.37858206033706665,0.983016848564148,0.9657639265060425,0.4025272727012634,0.9861275553703308,0.9721611738204956
7,0.3793620467185974,0.9853712320327759,0.97060227394104,0.386495977640152,0.9874191284179688,0.974601149559021
8,0.3699353337287903,0.9861817955970764,0.9725185632705688,0.3805803656578064,0.9878570437431335,0.9753921627998352
9,0.359285444021225,0.9865620732307434,0.9729382991790771,0.3563358187675476,0.9867829084396362,0.9728434681892395
10,0.3240682780742645,0.987775444984436,0.9747772812843323,0.3584841191768646,0.9898144006729126,0.9795464277267456
11,0.3631373345851898,0.9858002066612244,0.9713318347930908,0.389987051486969,0.9869529604911804,0.9733192324638367
12,0.3280166983604431,0.9838417768478394,0.9667317867279053,0.3562498092651367,0.9873479604721069,0.9748342633247375
13,0.2895107865333557,0.9882745146751404,0.9764977097511292,0.32589659094810486,0.9893641471862793,0.9784744381904602
14,0.3002719283103943,0.9891914129257202,0.9779135584831238,0.3636901080608368,0.9904204607009888,0.9805407524108887
15,0.3077629804611206,0.9897150993347168,0.9790366291999817,0.32758352160453796,0.9897695779800415,0.9790552258491516
16,0.29737430810928345,0.9893928170204163,0.9782813787460327,0.36694133281707764,0.9893506765365601,0.9786204099655151
17,0.2964361310005188,0.9900180101394653,0.9796154499053955,0.3366905748844147,0.9909728765487671,0.981495201587677
18,0.30820801854133606,0.9878093600273132,0.9755861163139343,0.3636467456817627,0.9891786575317383,0.9782978296279907
19,0.31287360191345215,0.9889442920684814,0.9775349497795105,0.32478004693984985,0.9902572631835938,0.9802972078323364
20,0.3175729215145111,0.9895703196525574,0.9788845777511597,0.3402581810951233,0.9907296895980835,0.981204628944397
21,0.2940884828567505,0.9900383353233337,0.979597806930542,0.35679206252098083,0.9904781579971313,0.9806024432182312
22,0.2942546606063843,0.990449845790863,0.980614185333252,0.3469816744327545,0.9883127212524414,0.9766155481338501
23,0.3027111291885376,0.9899811744689941,0.9796569347381592,0.3397914171218872,0.9871684312820435,0.9744583368301392
24,0.3047344982624054,0.9890742301940918,0.977567195892334,0.42280492186546326,0.9832764863967896,0.966937243938446
25,0.2979587912559509,0.9895582795143127,0.9791116118431091,0.3289380669593811,0.9890550374984741,0.9780614972114563
26,0.27950963377952576,0.990066647529602,0.9798758029937744,0.3387661576271057,0.9898898005485535,0.9798042178153992
27,0.2849390208721161,0.9906073808670044,0.9809937477111816,0.33926472067832947,0.9903459548950195,0.9799915552139282
28,0.3154657483100891,0.9913539290428162,0.9822973608970642,0.3341315984725952,0.9873417615890503,0.9746702313423157
29,0.2943352162837982,0.990901529788971,0.9814937710762024,0.3212389349937439,0.9902437925338745,0.9801506996154785
30,0.3047340214252472,0.9917737245559692,0.9831687211990356,0.32155659794807434,0.9901191592216492,0.9797583818435669
31,0.29105913639068604,0.9914293885231018,0.9825928211212158,0.3419480621814728,0.989818274974823,0.9793248176574707
32,0.28929102420806885,0.9915221333503723,0.9827991724014282,0.3598625957965851,0.9903931617736816,0.9803779721260071
33,0.2797156572341919,0.991539478302002,0.9827864766120911,0.3159121870994568,0.9912077188491821,0.9821082949638367
34,0.27781257033348083,0.992311954498291,0.9842804670333862,0.35044509172439575,0.9921388626098633,0.9840821027755737
35,0.2895233929157257,0.9911287426948547,0.9819416999816895,0.3772590756416321,0.9839588403701782,0.9678573608398438
36,0.3150152564048767,0.9884266257286072,0.9765840768814087,0.35500043630599976,0.9912433624267578,0.9823533892631531
37,0.31698766350746155,0.9899519681930542,0.979683518409729,0.36558446288108826,0.9896821975708008,0.9791997671127319
38,0.3093965947628021,0.988525927066803,0.9764464497566223,0.33894750475883484,0.9908321499824524,0.9810091853141785
39,0.3026283383369446,0.9890955686569214,0.9780319929122925,0.3463018536567688,0.9900398254394531,0.9799565076828003
40,0.2802838087081909,0.990341067314148,0.9804224371910095,0.3589048385620117,0.9904497861862183,0.9807513356208801
41,0.2819136083126068,0.9915465116500854,0.9827898144721985,0.3168887794017792,0.9913236498832703,0.9825711250305176
42,0.5865889191627502,0.8117897510528564,0.7762494087219238,0.48914042115211487,0.9519604444503784,0.9085615277290344
43,0.4126969873905182,0.9555615186691284,0.9151973724365234,0.35834604501724243,0.9599007368087769,0.9230983853340149
44,0.4156799018383026,0.9572382569313049,0.9183047413825989,0.3588043749332428,0.9592583775520325,0.9220304489135742
45,0.40855473279953003,0.9573423266410828,0.9184972047805786,0.3361701965332031,0.9619666337966919,0.926982581615448
46,0.4020709991455078,0.9567144513130188,0.9172630906105042,0.34273576736450195,0.9578018188476562,0.9193625450134277
47,0.40202420949935913,0.9567212462425232,0.9174760580062866,0.3164792060852051,0.9614898562431335,0.9261683225631714
48,0.3949790596961975,0.9572505950927734,0.9183389544487,0.33895057439804077,0.958726704120636,0.9217947125434875
